relevant,format,cathode_material,anode_material,electrolyte,additive,year,title,DOI
Yes,Coin,LiFePO4,Li metal,PIL/IL/BNNS composite with LiTFSI in IL,BNNS,2019,UV-curable boron nitride nanosheet/ionic liquid-based crosslinked composite polymer electrolyte in lithium metal batteries,10.1016/j.jpowsour.2019.01.004
Yes,Coin,Mixed cathode with LiMn2O4 and a layered metal oxide,Graphite,"Proprietary electrolyte containing LiPF6, ethylene carbonate, propylene carbonate, diethyl carbonate, and additives including sulphur and boron compounds (likely LiBOB and propane sultone)",LiBOB and propane sultone,2020,Optimisation of Formation and Conditioning Protocols for Lithium-Ion Electric Vehicle Batteries,10.1002/batt.202000048
Yes,Coin,Not found,"Silicon-based composite (e.g., Si/MWCNT, SiNi/MWCNT)","1M LiPF6 in EC:DEC with additives (e.g., 2% VC, 15% FEC) or LiTFSI-Pyr14TFSI ionic liquid",Not found,2015,Advanced Multiphase Silicon-Based Anodes for High-Energy-Density Li-Ion Batteries,10.1149/2.1111506jes
Yes,Not found,Not found,Lithium metal,2 mol·L⁻¹ LiDFOB with 2 mol·L⁻¹ LiTFSI in DME,LiDFOB and LiTFSI,2021,Predicted Operando Polymerization at Lithium Anode via Boron Insertion,10.1021/acsenergylett.1c00907
Yes,Not found,Not found,Not found,LiTFSI in [Emim][TFSI] with molalities 0.5 and 2.5 mol·kg⁻¹,Not found,2021,Dynamics of Emim+ in [Emim][TFSI]/LiTFSI Solutions as Bulk and under Confinement in a Quasi-liquid Solid Electrolyte,10.1021/acs.jpcb.1c02383
Yes,Pouch,Li[Ni0.4Mn0.4Co0.2]O2 (NMC442),Graphite,"1 M LiPF6 in FEC:TFEC (1:1 w:w) with additives such as PES, MMDS, DTD, etc.","PES, MMDS, DTD, VC, ES, TMS, TTSPi, TAP (multiple additives studied)",2016,The effectiveness of electrolyte additives in fluorinated electrolytes for high voltage Li[Ni0.4Mn0.4Co0.2]O2/graphite pouch Li-ion cells,10.1016/j.jpowsour.2016.09.012
Yes,Coin,Not found,Graphite,1 M LiPF6 in EC/DEC/DMC (1:1:1 by volume) with 1 vol% FEC,Not found,2019,Remarkably Improved Cycling Stability of Boron-Strengthened Multicomponent Layer Protected Micron-Si Composite Anode,10.1021/acssuschemeng.9b05155
Yes,Coin,NMC (LiNi0.33Mn0.33Co0.33O2),Graphite,Layered heterostructure ionogel with EMIM-TFSI/LiTFSI (high-potential side) and EMIM-FSI/LiTFSI (low-potential side) in hBN nanoplatelet matrix,Not found,2021,Layered Heterostructure Ionogel Electrolytes for High-Performance Solid-State Lithium-Ion Batteries,10.1002/adma.202007864
Yes,Pouch,NMC622,Graphite,1.2M LiPF6 in EC:EMC:DMC 25:5:70 or EC:DMC 3:7 or EC:EMC 3:7,"PDO, pMODO, pFDO, pNDO, and co-additives like DTD, LFO, VC, PES, MMDS, TTSPi",2020,Impact of Functionalization and Co-Additives on Dioxazolone Electrolyte Additives,10.1149/1945-7111/ab8ed6
Yes,Coin,Not found,"Carbon-based (N, O co-doped porous carbon)",1 M NaClO4 in EC/DEC (1:1) with 5% wt. FEC,Not found,2018,Template-assisted in situ confinement synthesis of nitrogen and oxygen co-doped 3D porous carbon network for high-performance sodium-ion battery anode,10.1039/c8nj02394h
Yes,Coin,a-MnO2,Mg metal,0.75 m MMC/G4 (tetraglyme),Not found,2015,An Efficient Halogen-Free Electrolyte for Use in Rechargeable Magnesium Batteries,10.1002/anie.201412202
Yes,Coin,Not found,Not found,3:7 (wt%) ethylene carbonate/ethyl methyl carbonate (EC:EMC) and 1.0 M ABA,Not found,2015,Density Functional Theory and Conductivity Studies of Boron-Based Anion Receptors,10.1149/2.1021509jes
Yes,Not found,Not found,Not found,Not found,Not found,2020,Guidelines and trends for next-generation rechargeable lithium and lithium-ion batteries,10.1039/c7cs00863e
Yes,Not found,Not found,Graphite,Not found,PBF,2015,"Development of Pyridine-Boron Trifluoride Electrolyte Additives for Lithium-Ion Batteries (vol 162, p A1186, 2015)",10.1149/2.0241508jes
Yes,Coin,LiFePO4,Lithium,"PEO composite with LiTFSI, TEGDME, and S-hBN platelets",S-hBN (silane-treated hexagonal boron nitride),2020,Direct Ink Writing of Polymer Composite Electrolytes with Enhanced Thermal Conductivities,10.1002/adfm.202006683
Yes,Coin,LiFePO4,Lithium metal,"1.0 M lithium bis(trifluoromethane sulfonimide) in a mixture of 1,3-dioxalane and dimethyl ether (1:1 by volume) with 1 wt % LiNO3 for symmetric cells; 1.0 M lithium hexafluorophosphate in a 50:50 (w/w) mixture of ethylene carbonate and diethyl carbonate for full cells",LiNO3,2021,Functionalized Boron Nitride-Based Modification Layer as Ion Regulator Toward Stable Lithium Anode at High Current Densities,10.1021/acsami.0c16354
Not found,Not found,Not found,Not found,1.5 M VOSO4 in 2 M H2SO4,Not found,2019,Role of borate functionalized carbon nanotube catalyst for the performance improvement of vanadium redox flow battery,10.1016/j.jpowsour.2019.227063
Yes,Coin,Sulfur,Lithium,1 M LITFSI in DOL:DME (1:1 volume ratio) with 0.1 M LiNO3,LiNO3,2020,Pyrolyzed pencil graphite coated cellulose paper as an interlayer: An effective approach for high-performance lithium-sulfur battery,10.1016/j.apsusc.2020.147483
Yes,Flexible solid-state,Activated carbon,Activated carbon,GO-B-PVA nanocomposite gel saturated with 6 M KOH solution,Boron cross-links (boric acid/ammonia solution),2014,Boron cross-linked graphene oxide/polyvinyl alcohol nanocomposite gel electrolyte for flexible solid-state electric double layer capacitor with high performance,10.1016/j.electacta.2014.03.151
Yes,Coin,LiFePO4,Graphite,"PVdF-HFP blended with SIPEs (e.g., LiPHB, LiPPB, LiPBB) in EC/PC (v/v, 1:1)",Not found,2014,Lithium-Ion Batteries with a Wide Temperature Range Operability Enabled by Highly Conductive sp3 Boron-Based Single Ion Polymer Electrolytes,10.1002/ente.201402010
Not found,Not found,Not found,Not found,Not found,Not found,2016,Application of porous boron-doped diamond electrode towards electrochemical mineralization of triphenylmethane dye,10.1016/j.jelechem.2016.06.023
Not found,Not found,Not found,Not found,Not found,Not found,Not found,Constructing Successive Active Sites for Metal-free Electrocatalyst with Boosted Electrocatalytic Activities Toward Hydrogen Evolution and Oxygen Reduction Reactions,10.1002/cctc.201801455
Not found,Not found,Not found,Not found,Not found,Not found,2016,Electrolyzing synthesis of boron-doped graphene quantum dots for fluorescence determination of Fe3+ ions in water samples,10.1016/j.talanta.2016.11.019
Yes,Not found,BiF3,Not found,G4 containing saturated CsF with 0.5 M DiOB-Py or DiOB-An,"DiOB-Py, DiOB-An",2020,Borolan-2-yl involving anion acceptors for organic liquid electrolyte-based fluoride shuttle batteries,10.1016/j.jfluchem.2020.109672
Yes,Not found,Not found,Not found,"Li-B-S system (e.g., Li5B7S13, Li2B2S5, Li3BS3, Li9B19S33)",Not found,2020,Combining Superionic Conduction and Favorable Decomposition Products in the Crystalline Lithium-Boron-Sulfur System: A New Mechanism for Stabilizing Solid Li-Ion Electrolytes,10.1021/acsami.9b19091
Not found,Coin,LFP (Lithium Iron Phosphate),Graphite,1 M LiPF6 in DEC:EMC:DMC:EC=20:35:15:30 (by weight) with 2% VC additive,Not found,2019,A robust bi-layer separator with Lewis acid-base interaction for high-rate capacity lithium-ion batteries,10.1016/j.compositesb.2019.107448
Yes,Not found,Not found,Not found,EC/PC/1 M LiClO4 or EC/1 M LiClO4,TMDGB (tris(methoxy diethylene glycol) borate),2008,Effect of tris(methoxy diethylene glycol) borate on ionic conductivity and electrochemical stability of ethylene carbonate-based electrolyte,10.1016/j.electacta.2008.04.070
Yes,Not found,"B, N dual doped carbon",Zinc,2 M KOH aqueous electrolyte,Not found,2021,"Enhanced energy storage of aqueous zinc-carbon hybrid supercapacitors via employing alkaline medium and B, N dual doped carbon cathode",10.1016/j.jcis.2021.04.114
Yes,Pouch,Lithium iron phosphate,"Nano-silicon (undoped, P-doped, B-doped)",1 M LiPF6 in ethylene carbonate/diethyl carbonate EC/DEC = 3:7 by weight,Not found,2013,"Solid state NMR structural studies of the lithiation of nano-silicon: Effects of charging capacities, host-doping, and thermal treatment",10.1016/j.ssi.2013.07.013
Yes,Not found,Not found,Not found,Not found,LiMOB,2004,"LiMOB, an unsymmetrical nonaromatic orthoborate salt for nonaqueous solution electrochemical applications",10.1149/1.1651528
Yes,Coin,Not found,Co-B alloy,6 M KOH solution with 0.06 M or 0.09 M ethylenediamine (EDA) additive,Ethylenediamine (EDA),2011,In situ electrochemical oxidation of ethylenediamine on Co-B alloy electrode during cycling for improving its electrochemical properties at elevated temperature,10.1016/j.electacta.2011.02.070
Yes,Coin,Not found,"Graphite (counter electrode), but primary anode material is Fe-B or B2O3/Fe hybrid",1 mol L⁻¹ LiPF6 in a 50:50 w/w mixture of DMC and EC,Not found,2018,Boron Embedded in Metal Iron Matrix as a Novel Anode Material of Excellent Performance,10.1002/adma.201801409
Yes,Not found,Graphite,Not found,Not found,Not found,2020,Rationalizing the Anion Storage in Cathodes for Optimum Dual-Ion Batteries: State of the Art and the Prospect,10.1021/acs.energyfuels.0c03719
Yes,Not found,Not found,Not found,"Mixture of LiBF4 and lithium difluoro(oxalato)borate (LiBF2(C2O4)) in various solvents including imidazolium ionic liquid, aliphatic carbonates (e.g., EC, PC, DMC), and polymer matrices like PEO or p(AN-BuA)","Not found (the mixture itself is the electrolyte component, not an additive)",2009,Mixture of LiBF4 and lithium difluoro(oxalato)borate for application as a new electrolyte for lithium-ion batteries,10.1016/j.jpowsour.2009.10.083
Yes,Coin,Na0.59Co0.20Mn0.75B0.05O2,Sodium metal,1M NaClO4 in PC:FEC (97:3 wt%),"Boron (B-doping in cathode, not electrolyte additive)",2019,Enhanced cyclability and dynamic properties of P2-type Na0.59Co0.20Mn0.80O2 cathode by B-doping for sodium storage,10.1016/j.chemphys.2019.110582
Yes,Coin,V2O5,Lithium metal,"Polymer composite electrolytes based on BCP with LiClO4 and core-shell silica fillers (e.g., BCP-Si-B with 30 wt% Si-B)","Boron moiety in the shell layer (e.g., from B-PEGMA)",2015,Polymer Composite Electrolytes Having Core Shell Silica Fillers with Anion-Trapping Boron Moiety in the Shell Layer for All-Solid-State Lithium-Ion Batteries,10.1021/acsami.5b00618
Yes,Coin,Sulfur,Lithium metal,"1.0 M LiN(SO2CF3)2 (LiTFSI)/1,3-dioxolane (DOL) + dimethyl ether (DME) (1:1 by volume ratio) with 2 wt% LiNO3",LiNO3,2018,Simultaneously Exfoliated Boron-Doped Graphene Sheets To Encapsulate Sulfur for Applications in Lithium-Sulfur Batteries,10.1021/acssuschemeng.8b00378
Yes,Coin,LiFePO4,Lithium,"EMI-TFSI ionic liquid with LiTFSI salt, confined in g-BN nanosheets",Not found,2016,Graphene-Analogues Boron Nitride Nanosheets Confining Ionic Liquids: A High-Performance Quasi-Liquid Solid Electrolyte,10.1002/smll.201600358
Yes,Coin,Li1.1[Ni1/3Co1/3Mn1/3]0.9O2 (NCM),Mesocarbon microbeads (MCMB),1.2 M LiPF6 in EC/EMC (3:7 by volume),"AR01, AR02, AR03, AR04 (anion receptors)",2010,Effect of Anion Receptor Additives on Electrochemical Performance of Lithium-Ion Batteries,10.1021/jp104341t
Yes,Coin,LiNi0.6Co0.2Mn0.2O2 (NCM622),Lithium metal,1M LiPF6 in ethylene carbonate and dimethyl carbonate (1:1 in volume ratio),Not found,2021,Stabilization of a 4.7 V High-Voltage Nickel-Rich Layered Oxide Cathode for Lithium-Ion Batteries through Boron-Based Surface Residual Lithium-Tuned Interface Modification Engineering,10.1002/celc.202100125
Yes,Not found,Not found,Graphite,0.1 M TPFPB + 0.3 M LiF in methyl acetate (MA) with 10% FEC and 0.05 M LiDFOB additive,"TPFPB, LiDFOB, FEC",2025,High Li+ Transference Number Electrolyte Enabled by Fluoride Acceptor for Low-Temperature Li-Ion Batteries,10.1021/acsenergylett.5c01343
Yes,Not found,Not found,Not found,[Pyr14Cl/(BCl3)0.25]/(δ-MgCl2)x,δ-MgCl2,2025,Unfolding the Network Structure of [Pyr14Cl/(BCl3)0.25]/(δ-MgCl2)x Ionic Liquid Using the BCl4- Probe,10.1002/sstr.202500157
Yes,Coin,NMC811,Silicon-Boron Alloy,1.2 m LiPF6 in 3:7 ethylene carbonate:ethylmethyl carbonate with 3 wt% fluoroethylene carbonate,Not found,2025,The Origin of Improved Performance in Boron-Alloyed Silicon Nanoparticle-Based Anodes for Lithium-Ion Batteries,10.1002/aenm.202501074
Not found,Coin,Na0.85Ni0.3Mn0.3Fe0.1Co0.15Ti0.1Cu0.05B0.02O2,"Sodium metal (for half-cell), Hard carbon (for full-cell)","1 M NaPF6 in propylene carbonate with 5% fluoroethylene carbonate (for room temperature), 1 M NaPF6 in ethylene glycol dimethyl ether (for low temperature)",Fluoroethylene carbonate (FEC),2025,Entropy-mediated layered oxide cathodes: Synergistic channel expansion and strain control for sodium-ion batteries at cryogenic conditions,10.1016/j.jechem.2025.06.006
Yes,Coin,Sulfur,Lithium metal,1M LiTFSI and 1wt% LiNO3 in a 1:1 by volume solution of DOL and DME,Not found,2025,2D (Boron Nitride/Graphene/Molybdenum Disulfide) Composite-Modified Separator for High-Performance Li-S Batteries,10.1021/acs.energyfuels.5c02545
Yes,Coin,NH4V4O10,Zinc,Anionic MOF (1Zn) with water content,Not found,2025,Anionic Metal-Organic Framework as an Ultrafast Single-Ion Conductor for Exceptional Performance Rechargeable Zinc Batteries,10.1021/jacs.5c08566
Yes,Not found,NCM811,Lithium,LiPHB (LiT4PAB-PVDF-HFP-BBI),LiT4PAB,2025,Adaptive 3D Cross-Linked Single-Ion Conducting Polymer Electrolytes Enable Powerful Interface for Solid State Batteries,10.1002/anie.202505232
Yes,Not found,NCM523,Li metal,Not found,Not found,2025,Stabilizing Solid-State Li Metal Batteries via a Poly(ethylene oxide)-LiTFSI@Boron Nitride Interfacial Layer,10.1002/batt.202500386
Yes,Not found,Not found,Not found,Li2B12H12-based solid electrolyte,Not found,2025,Modifying Li2B12H12 to become a highly electrochemically stable solid electrolyte,10.1039/d5ta02774h
Yes,Not found,Selenium,Lithium,Not found,Scandium-doped Boron Monoxide (Sc-BO),2025,"First-principles study on the role of Ti, V, and Sc catalysts in enhancing the catalytic effects of boron oxide monolayer for efficient Lithium-selenium batteries",10.1016/j.flatc.2025.100918
Yes,Coin,Not found,Hard Carbon,High-content NaBF4 in G2 (diethylene glycol dimethyl ether),NaBF4,2025,Boron-Fluoride Anion-Derived Layers Facilitate Long-Cycle and High-Capacity Sodium-Ion Batteries,10.1021/acsaem.5c01006
Not found,Coin,NCM811,Graphite,1M LiPF6 in EC/EMC (1:2 v/v),Not found,2025,Exploring the surface-stabilized Ni-rich NCM cathode material by embedding yttrium and borate-integrated interfaces for lithium-ion batteries,10.1016/j.jallcom.2025.181419
Yes,Coin,NCM811,Graphite,1.0 M LiPF6 in EC/DEC with 0.75 wt% NHCABT and 1.0 wt% LiNO3,NHCABT and LiNO3,2025,"N-heterocyclic carbene as a potent LiNO3-solubilizer, Li+-solvation regulator and solid-electrolyte interphase enhancer for highly durable Lithium metal batteries",10.1016/j.cej.2025.166397
Yes,Coin,Sulfur,Lithium,1 M LiTFSI in DOL/DME (1:1 v/v) with 2.0 wt% LiNO3,Not found,2019,Mesoporous boron carbon nitride/graphene modified separators as efficient polysulfides barrier for highly stable lithium-sulfur batteries,10.1016/j.jelechem.2019.04.047
Yes,Coin,Sulfur,Lithium metal,"0.2 M LiFPB, 0.8 M LiTFSI, and 1 wt.% LiNO3 in DME/DOL (1:1 by vol.)",LiFPB,2025,Macromolecular Boron-Based Salt Enables Dense Interphases for Long-Cycling Lithium-Sulfur Batteries,10.1002/adma.202505762
Yes,Coin,Sulfur,Lithium metal,"1 M LiTFSI and 2 wt.% anhydrous LiNO3 in DOL/DME (1:1, v/v)",Not found,2025,Nacre-inspired hybrid interface enabling controlled lithium deposition via ion modulation for lithium-sulfur batteries,10.1007/s42114-025-01380-4
Not found,Not found,Not found,Graphite (derived from waste pyrolytic carbon black),Not found,Not found,2025,Upcycling Waste Pyrolytic Carbon Black into Sustainable Ultrahigh Performance Anode for Sodium-Ion Batteries via Multi-Chemistry and Engineering Synergism,10.1002/adfm.202514035
Yes,Coin,LiNi0.82Co0.12Mn0.06O2,Lithium metal,"1.0 M LiPF6 in ethylene carbonate-diethyl carbonate (EC:DEC, 1:1 v/v) for coin cells; 1.0 M LiPF6 in EC:EMC (3:7 v/v) with 2 wt% VC for pouch cells",Not found,2025,Synergistic LiBO2/CeF3 hybrid coating engineering for chemically stabilized cathode-electrolyte interphase in nickel-rich cathodes,10.1007/s12598-025-03403-x
Yes,Coin,"Sulfur-based (e.g., elemental sulfur or composites)",Lithium metal,Not found,Not found,2025,"Triphasic Interface Engineering with Metallic Sn/N, B Co-Doped Carbon Matrix for Boosting Reaction Kinetics and Cycling Stability in Lithium-Sulfur Batteries",10.1002/smll.202503534
Yes,Coin,LiFePO4,Lithium metal,Not found,Not found,Not found,Dual-functional TiN/BN@separator for enhanced electrochemical performance and safety of lithium-ion batteries,10.1016/j.est.2025.117608
Yes,Not found,Sulfur,Lithium metal,"Dimethyl ether (DME), dimethoxy ethane (DMOE), dimethoxy sulfide (DMSO), acetonitrile",Not found,2025,Enhancing Safety in Li-S Batteries: Mitigating Thermal Instabilities via Electrolyte and Separator Pair Optimization,10.1002/ente.202500550
Yes,Flexible,Carbon cloth with Co3O4 catalyst,Zinc sheet,6 M KOH + 0.2 M Zn(CH3COO)2,OH-BNNSs,2025,OH-BNNSs reinforced polyvinyl alcohol/ carboxymethyl cellulose-based deep eutectic gel electrolyte for rechargeable zinc-air batteries,10.1016/j.colsurfa.2025.137514
Yes,Coin,"NCM (Ni-rich, e.g., LiNi0.6Co0.2Mn0.2O2 or LiNi0.8Co0.1Mn0.1O2)",Graphite,1M LiPF6 in EC/EMC (3:7 by wt.) with 2% FEC,"Li2TB (lithium tetraborate), TFEB (tris(2,2,2-trifluoroethyl) borate), TTC (1,3,5-trimethyl-1,3,5-tris(3,3,3-trifluoropropyl) cyclotrisiloxane)",2025,Designing High-Temperature Stable Electrolytes: Insights from the Degradation Mechanisms of Boron-Containing Additives,10.1021/jacs.5c06741
Yes,Coin,"TiS2, LiFePO4",Lithium metal,Li2B12H12/ZrO2 nanocomposite,ZrO2,2025,Enhanced Ionic Conductivity and Electrochemical Properties of Li2B12H12/ZrO2 Nanocomposites for All-Solid-State Lithium Metal Batteries,10.1021/acsami.5c01939
Not found,Not found,Not found,Not found,Not found,Not found,Not found,Production of high capacity porous nickel borides via novel molten salt electrolysis,10.1016/j.solidstatesciences.2025.107889
Yes,Coin,NCM811,Lithium metal,"1M LiBOB, 0.5M LiNO3, and 2 wt% DTD in DME",DTD,2025,High-Voltage Fluoride-Free Electrolytes for Ni-Rich Cathodes Offering Superior Water Resistance,10.1021/acssuschemeng.5c00933
Not found,Not found,Not found,Not found,Not found,Not found,2025,Novel fast Na+ conducting rare earth-free Na5YSi4O12-type borosilicate glass-ceramics,10.1016/j.ceramint.2025.03.292
Yes,Pouch,NCM811,Lithium,"SSE@PH-BN/LN (ultrathin solid-state electrolyte with boron nitride nanofibers and lithiated nafion mosaics in a honeycomb-like skeleton, infused with poly(ester-ether) copolymer and LiTFSI)",Not found,2025,High-Strength Ultrathin Solid-State Electrolyte with Ion-Rectifying Honeycomb-Like Skeleton for Lithium Metal Batteries Free from External Pressure,10.1002/adfm.202511558
Yes,Flexible,CoO/NBC on carbon paper,Zinc foil,Trehalose-modified polyacrylamide hydrogel soaked with 6 M KOH and 0.2 M zinc acetate,Not found,2025,A bifunctional catalyst of CoO/NBC composite for high-performance rechargeable flexible zinc-air battery,10.1016/j.jcis.2025.137537
Not found,Not found,Not found,Not found,Not found,Not found,Not found,Mixed ionic-electronic conduit of Ca2+ confined by two-dimensional multicomponent boron-carbon layers,10.1016/j.jpcs.2025.112842
Not found,Not found,Not found,Not found,Not found,Not found,2025,Unveiling the Favorable Synergy of ZIF-9 and Borocarbonitride on rGO as a Bifunctional Electrocatalyst for Hydrogen and Oxygen Evolution Reactions in Alkaline Media,10.1021/acs.langmuir.5c02189
Yes,Not found,Not found,Not found,Not found,Not found,2025,Colloidal Hot-Injection Synthesis of CuBSe2 Nanocrystals: Tetragonal Chalcogenide Templates for Superionic Lithiation Pathways,10.1002/sstr.202500238
Yes,Coin,Mo6S8,Mg,0.25 M BF3-PhMgCl-3MgCl2 in THF,Not found,2025,Innovative fluorinated boron-based electrolyte harmonizes interface chemistry-electrochemistry of Mg anode for accessible rechargeable Mg battery,10.1016/j.cej.2025.164545
Yes,Coin,"Pt/C (for Li-O2 battery), Not found (for specific battery tested)",Lithium,"Poly(tetrahydrofuran) (PTHF) with BF3-THF initiator, no added salts mentioned",BF3-THF (acts as initiator and additive),2025,Electro-boost in-situ formation of poly(tetrahydrofuran) to enhance interfacial compatibility and charge transfer for solid polymer electrolyte,10.1016/j.eurpolymj.2025.114016
Yes,Not found,Not found,Not found,1M LiTFSI in TTE and DME in a 1:2:2 molar ratio,Boron nitride nanosheets,2025,Adsorption of Fluorinated Ether Electrolyte Solvent Molecules on Boron Nitride Nanosheets Studied by Solid-State NMR and Computational Methods,10.1021/acs.jpclett.5c01962
Yes,Coin,NVP (Na3V2(PO4)3),h-BN-rGO-Se,NaPF6 in DME,Not found,2025,High performance h-BN-rGO-Se anode for fast-charging and high current density sodium-ion batteries,10.1016/j.jpowsour.2025.237839
Yes,Coin,Not found,Boron-doped thermally exfoliated graphene (BTEG),1M LiPF6 in EC/DEC for LIBs; 1M NaPF6 in EC/DEC/FEC (10 vol%) for SIBs; 5M KFSI in EC/DEC for PIBs,Not found,2025,"Correlating the mechanism, kinetics, and SEI formation of a boron-doped graphene anode for high-performance alkali ion batteries",10.1039/d5ta01263e
Yes,Not found,NCM811,Lithium metal,Li5.7 PS4.7 Cl1.3 with boron nitride coating,Boron nitride,2025,Enhancing moisture and electrochemical stability of the Li5.7 PS4.7 Cl1.3 electrolyte by boron nitride coating for all-solid-state lithium metal batteries,10.1016/j.cclet.2024.109775
Not found,Not found,Not found,Hard carbon (B-doped),1 M NaPF6 in diethylene glycol dimethyl ether (DEGDME),Not found,2025,Versatile defect-laden boronizing hard carbon for superior sodium-ion battery efficacy,10.1016/j.cej.2025.166436
Yes,Not found,Not found,Not found,Not found,Not found,2025,"Boron nitride, a versatile nanostructure: Advances in synthesis, modifications, and energy storage applications",10.1016/j.jpowsour.2025.237759
Yes,Coin,NCM523,Graphite,Not found,Not found,2025,Super electrolyte-philic all-inorganic ceramic separators for highly robust lithium batteries,10.1016/j.ensm.2025.104389
Yes,Coin,Not found,Graphite,1M NaPF6 in EC/PC with FEC,FEC,2025,Engineering Atomically Co-N3B/C Configuration for Rigid-Soft Coupling SEI in High-Performance Sodium-Ion Batteries,10.1002/adfm.202500255
Yes,Coin,Na(Ni1/3Fe1/3Mn1/3)0.98Al0.02B0.02O2,Sodium metal,1 m NaClO4 in PC + 5% FEC,Not found,2025,Stabilization of Phase Transition Process and Lattice Oxygen of O3-Layered Oxide Cathode for Sodium-Ion Battery via Dual-Doping Strategy,10.1002/aenm.202502592
Yes,Not found,Not found,Magnesium,Mg[B(HFIP)4]2/DME/THF (50 vol%),Not found,2025,Semi-Chelation Solvation Enables High Interface Compatibilities with both Anode and Cathode in a Bulky Mg[B(HFIP)4]2 Electrolyte,10.1002/adfm.202505843
Yes,Not found,Not found,Not found,Not found,Not found,2025,Unveiling Solid-State Electrochemical Oxidation of LiBH4 and Li2B12H12 for High-Voltage All-Solid-State Batteries,10.1021/acsaem.5c01264
Yes,Not found,Not found,Lithium metal,Not found,Not found,2017,10.1016/j.jpowsour.2017.4.018,10.1016/j.jpowsour.2017.4.018
Yes,Coin,Li1.17Ni0.17Mn0.5Co0.17O2 (Li-rich cathode),Graphite,1.3 M LiPF6 in EC/EMC/DMC (3:4:3 vol ratio),LiDFOB,2017,10.1016/j.jpowsour.2017.4.094,10.1016/j.jpowsour.2017.4.094
Yes,Not found,Not found,Not found,Not found,Not found,2015,10.1007/978-3-319-13054-5/10,10.1007/978-3-319-13054-5/10
