idx,additives,electrolytes,cathodes,anodes,types
335,TPFPB,1.0 mol dm^{-3} LiPF6 in EC/DMC (1:1 v/v),FeF3,Li,LIB
395,TPFPB,Not found,Not found,Not found,LIB
480,TPFPB,"1 M LiPF6 in EC, EMC, and DEC (3:4:3 by volume) with 1% TPFPB",NCM811 and NCM90,Lithium metal,LIB
559,TPFPB,PEO/LiTFSI with TPFPB additive,"NCM811, LiFePO4",Lithium metal,LIB
72,BN,Li1.3Al0.3Ti1.7(PO4)3 (LATP) solid electrolyte with PEO-LiTFSI@BN interfacial layer,NCM523,Li metal,LMB
255,BN,LATP solid electrolyte with BN coating; additional PEO/LiTFSI or liquid electrolyte (1M LiPF6 in EC/DEC) for infiltration,LiFePO4 (LFP) and NMC (LiNi0.33Mn0.33Co0.33O2),Lithium metal,LMB
376,BN,Li5.7PS4.7Cl1.3 (LPSC1.3) with boron nitride coating,NCM811 (LiNi0.8Co0.1Mn0.1O2),Lithium metal,LMB
585,BN,PEO-LiTFSI with boron nitride nanosheets,LiFePO4,Lithium metal,LMB
214,BN,PEO-PVDF-LiTFSI with 12 wt% BN additive,Sulfur,Lithium metal,LiS
304,BN,Li7P3S11 with BN doping (LPS-BN),Sulfur/Graphite composite,Lithium metal,LiS
225,BN,PVDF-HFP/LiTFSI hybrid electrolyte with 1% BN addition,LiFePO4,Lithium metal,LIB
644,BN,PEO/PVDF/LiTFSI with g-C3N4 and BN additives,LiFePO4,Lithium metal,LIB
72,BN,Li1.3Al0.3Ti1.7(PO4)3 (LATP) solid electrolyte with PEO-LiTFSI@BN interfacial layer,NCM523,Li metal,LMB
255,BN,LATP solid electrolyte with BN coating; additional PEO/LiTFSI or liquid electrolyte (1M LiPF6 in EC/DEC) for infiltration,LiFePO4 (LFP) and NMC (LiNi0.33Mn0.33Co0.33O2),Lithium metal,LMB
376,BN,Li5.7PS4.7Cl1.3 (LPSC1.3) with boron nitride coating,NCM811 (LiNi0.8Co0.1Mn0.1O2),Lithium metal,LMB
585,BN,PEO-LiTFSI with boron nitride nanosheets,LiFePO4,Lithium metal,LMB
214,BN,PEO-PVDF-LiTFSI with 12 wt% BN additive,Sulfur,Lithium metal,LiS
304,BN,Li7P3S11 with BN doping (LPS-BN),Sulfur/Graphite composite,Lithium metal,LiS
225,BN,PVDF-HFP/LiTFSI hybrid electrolyte with 1% BN addition,LiFePO4,Lithium metal,LIB
644,BN,PEO/PVDF/LiTFSI with g-C3N4 and BN additives,LiFePO4,Lithium metal,LIB
178,TPFPB,PC/ACN (1:5 volume ratio) with 0.5 M LiPF6 as supporting salt and 0.5 wt% TPFPB,Not found,Not found,ZIB
524,TPFPB,1 mol L-1 LiPF6 in EC:DMC (1:1) with TPFPB additive,Mesophase Pitch Fluoride (MPF),Lithium,ZIB
584,TPFPB,"1 M LiTFSI in DOL/DME (LDD), with additives like TPFPB or DiOB-Py in modified versions",Cu2(OH)3F,Lithium metal,ZIB
41,TPFPB,1 M LiPF6 in EC/EMC (3:7 by wt.) with 1 wt% TPFPB,LiNi0.5Mn1.5O4 (LNMO),Li metal,LMB
243,TPFPB,"LiFSI-dimethyl carbonate (DMC)-bis(2,2,2-trifluoroethyl) ether (BTFE, 1.0:1.5:2.0, by mol) with 2.0 wt.% TPFPB",LiNi0.5Co0.2Mn0.3O2 (NCM523),Lithium metal,LMB
400,TPFPB,1 M LiF + 1 M tris(pentafluorophenyl)borane (TPFPB) in DME or 1:1:3 PC:EC:DMC,LiMn2O4,Lithium metal,LMB
530,TPFPB,"Composite polymer electrolyte (CPE) with poly(ionic liquid), lithium salt (e.g., LiTFSI), trapped solvent (e.g., DMF), and TPFPB additive","LiFePO4, LiNi0.85Co0.15Al0.05O2 (NCA)",Lithium metal,LMB
538,TPFPB,Not found,LiNi0.5Co0.2Mn0.3O2 (NCM523) and LiFePO4 (LFP),Lithium metal,LMB
653,TPFPB,1 m NaClO4 in EC/DME (vol. 1:1) with 3 wt.% TPFPB,Na3V2(PO4)3 (NVP),Not found,SIB
706,TPFPB,"MgCl2, triphenyl borate [B(OPh)3], and tris(pentafluorophenyl) boron (TPFPB) in tetrahydrofuran (THF)",CuS and Mo6S8,Mg metal,MIB
64,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiMn2O4,Graphite,LIB
101,TPFPB,"0.6 M LiF and 0.6 M TPFPB in PC/DMC (1:1, v/v) or similar compositions",LiCoO2 or LiMn2O4,Graphite (MCMB),LIB
128,TPFPB,0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 volume) or similar compositions,LiMn2O4,Lithium foil,LIB
132,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiNi0.80Co0.15Al0.05O2,MCMB (Mesocarbon Microbeads),LIB
195,TPFPB,1 M LiPF6 in EC:DMC (1:1 wt%),Li1.2Ni0.16Mn0.56Co0.08O2 (LR-NMC),Lithium metal,LIB
335,TPFPB,1.0 mol dm^{-3} LiPF6 in EC/DMC (1:1 v/v),FeF3,Li,LIB
395,TPFPB,Not found,Not found,Not found,LIB
480,TPFPB,"1 M LiPF6 in EC, EMC, and DEC (3:4:3 by volume) with 1% TPFPB",NCM811 and NCM90,Lithium metal,LIB
559,TPFPB,PEO/LiTFSI with TPFPB additive,"NCM811, LiFePO4",Lithium metal,LIB
416,LiDFOB,4 M LiDFOB + LiTFSI / DME (dimethoxyethane),Not found,Lithium metal,LMB
549,LiDFOB,"Poly(1,3-dioxane) (PDOL)-based with LiTFSI and LiDFOB",Not found,Lithium metal,LMB
717,LiDFOB,"Various, including 1.2 M LiTFSI in THP:FEC (6:4 by volume) and others with different salts",NCM811,Lithium metal,LMB
358,LiDFOB,Not found,Sulfurized polyacrylonitrile (SPAN),Lithium (Li),LiS
3,LiDFOB,"Methyl acetate (MA) with 0.1 M TPFPB + 0.3 M LiF, 10% FEC, and 0.05 M LiDFOB additive",Not found,Graphite,LIB
53,LiDFOB,1 M LiBOB:LiBF4 in EC:DEC (3:7 by wt.) with various molar ratios,Not found,Lithium metal,LIB
59,LiDFOB,0.7 M lithium difluoro(oxalato)borate (LiDFOB) in trimethyl phosphate (TMP) solvent,NCM9055 (LiNi0.9Co0.05Mn0.05O2),Lithium metal,LIB
109,LiDFOB,1.2 m LiFSI/0.05 m LiDFOB in DME/HFE/FEC (3:6:1 by vol),NMC532,Graphite,LIB
186,LiDFOB,1.0 M LiDFOB in EC/PC/DMC (1:1:3 by weight),Li1.1[Mn1/3Ni1/3Co1/3]0.9O2 (L333),Mesocarbon microbeads (MCMB),LIB
191,LiDFOB,1.0 M LiPF6 in FEC/FEMC/HFE (2:6:2 by weight) with 2 wt% LiDFOB additive,LiNiO2,Graphite or Li metal,LIB
232,LiDFOB,"1 M LiPF6 in EC/DMC/EMC (1:1:1, v:v:v) with 1.5 wt% LiDFOB additive",LiNi0.83Mn0.05Co0.12O2 (NMC811),Graphite,LIB
275,LiDFOB,Polysiloxane-based membranes with LiDFOB or LiBOB at 0.61 mmol/g polymer,Not found,Not found,LIB
387,LiDFOB,"1 mol L�? LiPF6 in EC/DEC/EMC (1:1:1, by volume)",LiNi1/3Co1/3Mn1/3O2,Lithium metal,LIB
395,LiDFOB,Not found,Not found,Not found,LIB
439,LiDFOB,Mixture of LiBF4 and lithium difluoro(oxalato)borate (MIX-LiFBs) in various solvents including EC + PC + DMC (1:1:3) and ionic liquids,Not found,Graphite,LIB
472,LiDFOB,"PDSLB (PVDF-HFP-based solid electrolyte), LE0 (liquid electrolyte, composition not fully specified in text)",LFP (LiFePO4),Aluminum (Al) metal foil,LIB
489,LiDFOB,0.5 m LiTFSI-0.5 m LiDFOB in tetraglyme (G4),NMC811,Graphite or Hard Carbon,LIB
502,LiDFOB,1M LiPF6 in EC/DMC/EMC (1:1:1 by volume),Li1.2Co0.13Ni0.13Mn0.54O2,Graphite,LIB
535,LiDFOB,"0.6 M LiFSI and 0.2 M LiDFOB dissolved in 1,3-DIOX",NCM811,Graphite,LIB
575,LiDFOB,PEO/LiTFSI and PEO/LiDFOB bilayer electrolyte,FeF3,Lithium metal,LIB
581,LiDFOB,"1 M LiPF6 in dimethyl carbonate, ethylene carbonate, and ethyl methyl carbonate (1:1:1 in volume) with and without 1 vol% lithium difluoro(oxalate)borate (LiDFOB)",LiFePO4,Graphite,LIB
601,LiDFOB,1 M LiDFOB in EC/DMC (3/7 by volume) with 5 wt% glycidyl POSS,NCM83 (LiNi0.83Co0.11Mn0.06O2),"Graphite (implied from context, but SiOx is also used; primary is SiOx for full cell)",LIB
631,LiDFOB,PVDF/LiDFOB/SN polymer electrolyte infiltrated into cellulose/B2O3 membrane,NCM622,Lithium metal,LIB
680,LiDFOB,0.5 M LiPF6 + 0.5 M LiDFOB in EC/DEC (1:1 by vol.) or 1 M LiPF6 in EC/DEC (1:1 by vol.),Not found,Graphite,LIB
699,LiDFOB,0.7M LiBF4/DMC and 0.7M LiDFOB/DMC,Not found,Graphite,LIB
171,LiBOB,"0.25 M LiBOB, 0.25 M TPhBX, saturated CsF in tetraglyme (G4)",BiF3,Not found,ZIB
43,LiBOB,Lithium bis(trifluoromethanesulfonyl)imide/lithium bis(oxalato)borate (LiTFSI:LiBOB = 0.95:0.05 by mol) in FEC/HFE/PFEMC (1:1:4 by weight),NCM622,Lithium metal,LMB
442,LiBOB,"1.0 M LiN(SO2CF3)2 (LiTFSI)/1,3-dioxolane (DOL) + dimethyl ether (DME) (1:1 by volume ratio) with 2 wt% LiNO3",Sulfur encapsulated in boron-doped graphene,Lithium metal,LMB
29,LiBOB,1M LiPF6 in EC:DMC (1:1 by wt.),LiMn2O4,Graphite,LIB
89,LiBOB,1.0 M LiBOB in DME/FEC/HFE (3/5/2 by volume),"LiCoO2, NCM811",Lithium metal,LIB
125,LiBOB,1 mol/L LiFSI in EC/DEC/EMC (1:1:1 volume ratio) or 0.6 mol/L LiFSI and 0.4 mol/L LiBOB in EC/DEC/EMC (1:1:1 volume ratio),LiFePO4,Graphite,LIB
143,LiBOB,1M LiPF6 in EC:DEC (1:1 by volume) with 1.5 wt% LiBOB additive,LiNi0.94Co0.06O2,Graphite,LIB
157,LiBOB,"0.6 M TPFPB and 0.6 M LiF in PC/DMC (1:1 in volume), 0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 in volume), 0.4 M TPFPB and 0.2 M Li2O2 in PC/DMC (1:1 in volume) with or without 0.05 M LiBOB",Not found,Graphitized mesophase carbon microbeads (MCMB),LIB
258,LiBOB,Not found,Not found,Graphite,LIB
275,LiBOB,Polysiloxane-based membranes with LiDFOB or LiBOB at 0.61 mmol/g polymer,Not found,Not found,LIB
289,LiBOB,"Ether-based solid polymer electrolyte (SPE) with LiTFSI and LiBF4, and additives like LiBOB and PVC-derived modification",LiNi1/3Mn1/3Co1/3O2 (NMC),Graphite,LIB
295,LiBOB,"Poly[bis(2-(2-methoxyethoxy)ethoxy)-co-oxytrifluoroborate lithium phosphazene] with additives like LiBOB, LiTFSI, or LiFSI, and in gel form with EC/DMC",Not found,Lithium metal,LIB
341,LiBOB,1M LiPF6 in EC/EMC (3:7 by wt.) with 2 percent FEC,Not found,Graphite,LIB
351,LiBOB,1.0 M LiPF6 in ethylene carbonate (EC) and ethyl methyl carbonate (EMC) (4:6 in weight) with 0.1 M lithium bis(oxalato)borate (LiBOB),Li1.2Mn0.54Co0.13Ni0.13O2,Lithium metal,LIB
370,LiBOB,0.7 M LiBOB in EC/DEC (1:1 by volume),Not found,Graphite (MCMB),LIB
387,LiBOB,"1 mol L�? LiPF6 in EC/DEC/EMC (1:1:1, by volume)",LiNi1/3Co1/3Mn1/3O2,Lithium metal,LIB
398,LiBOB,Saturated solution (~0.6 mol kg⁻�? of LiBOB in EC-PC-DMC (1:1:3 by wt.),Not found,"Graphite, Carbon black, Li4Ti5O12",LIB
413,LiBOB,"Proprietary electrolyte containing LiPF6, ethylene carbonate, propylene carbonate, diethyl carbonate, and additives including sulfur and boron (likely LiBOB and propane sultone)",Mixed cathode with LiMn2O4 and a layered metal oxide (proprietary),Graphite,LIB
541,LiBOB,1M LiPF6 in EC/DMC (3:7 vol%),"Li1.222Ni0.349Mn0.651O2 (Co-free lithium-rich layered oxide, LRLO)",Graphite,LIB
607,LiBOB,LiBOB in TEP and MFE blended solvents (BPF electrolyte),NCM811,Lithium metal,LIB
640,LiBOB,"PEO, TEGDME, BC, LiTFSI, LiBOB",LiFePO4,Lithium metal,LIB
687,LiBOB,1 M LiPF6 in EC:DMC (1:1) with 1 wt% LiBOB additive,LiCoO2 (LCO),Graphite,LIB
301,TMSB,2M LiPF6 in EMC,Graphite,Not found,ZIB
449,TMSB,1M LiTFSI and 0.2M LiNO3 in 1:1 v/v DOL/DME,Carbon/sulfur composite,Lithium metal,LMB
679,TMSB,1.0 M LiPF6 in ethylene carbonate (EC) and dimethyl carbonate (DMC) solution (volume ratio 1:1) with 1 wt% tris(trimethylsilyl) borate (TMSB) additive,HPCNs@Se (Selenium infiltrated into hierarchically porous carbon spheres),Lithium metal,LiS
20,TMSB,1M LiPF6 in EC/EMC (v/v=1:1) with or without 0.5% TMSB,Li1.2Ni0.2Mn0.6O2,Graphite,LIB
516,TMSB,"1M LiPF6 and 0.02M LiDFOB in FEC, HFE, and FEMC (2:2:6 by volume) with 5 vol% TMSB",Carbon fluoride (CFx),Lithium metal,LIB
668,TMSB,1 mol L⁻�?LiPF6 in EC/EMC/DMC (1:1:1 by vol.) with 1% TMSB (weight),LiNi0.8Co0.15Al0.05O2 (NCA),Lithium foil,LIB
451,C-LiMCFB,1 m LiPF6 in EC/DEC (v/v = 1/1) with 0.1 m C-LiMCFB or other additives,NCM811,Lithium metal,LMB
451,L-LiMCFB,1 m LiPF6 in EC/DEC (v/v = 1/1) with 0.1 m C-LiMCFB or other additives,NCM811,Lithium metal,LMB
452,Borax,"Boron-stabilized anisotropic PVA hydrogel with LiTFSI salt at various concentrations (e.g., 4 m LiTFSI)",LiMn2O4,Li4Ti5O12,LMB
457,MBO,PEO-LiTFSI matrix with MBO solid plasticizer,LiFePO4 (LFP) and LiNi0.8Co0.1Mn0.1O2 (NCM811),Lithium metal,LMB
458,BG,PEO-based solid-state electrolyte with LiTFSI and boron-doped graphene (BG) filler,LiFePO4 (LFP),Lithium metal,LMB
462,BNNs,[Li(SL)3][FSA] with PVDF-HFP and boron nitride nanosheets (BNNs),LiFePO4 (LFP),Lithium Metal,LMB
672,BNNs,BNNs-MPS-PEGDA (BNP) with LiTFSI salt,LiFePO4 and LiNi0.8Co0.1Mn0.1O2 (NCM811),Lithium metal,LIB
479,BDB,"1 M LiPF6 in EC:DEC (1:1, v:v)",NCM811,Lithium metal,LMB
503,TBB,"In-situ polymerized 1,3-dioxolane with LiTFSI, TFB initiator, and TBB additive",NCM811,Lithium metal,LMB
510,THB,2 M LiTFSI in DOL with 1 wt% THB,LiFePO4 (LFP) and NCM523,Lithium Metal,LMB
517,LiBF4,1 M LiPF6 in EC/EMC (3:7 by vol.) with 1 wt.% LiBF4,LiNi0.5Mn1.5O4 (LNMO),Li-metal,LMB
717,LiBF4,"Various, including 1.2 M LiTFSI in THP:FEC (6:4 by volume) and others with different salts",NCM811,Lithium metal,LMB
488,LiBF4,1.5 M LiTFSI in TTE/DME (10:3 v/v) with 0.05 M LiBF4,Ketjenblack with selenium-doped sulfur (KB-Se/S),Lithium metal,LiS
183,LiBF4,1.2 M LiPF6 in EC:EMC 3:7 (vol%),LiNi0.8Co0.15Al0.05O2 (NCA),Graphite,LIB
439,LiBF4,Mixture of LiBF4 and lithium difluoro(oxalato)borate (MIX-LiFBs) in various solvents including EC + PC + DMC (1:1:3) and ionic liquids,Not found,Graphite,LIB
521,BN-CN,"PETEA-based polymer electrolyte with cyano-functionalized boron nitride nanosheets and liquid electrolyte (e.g., LiTFSI in DOL/DME)",NCM811,Lithium metal,LMB
178,TPFPB,PC/ACN (1:5 volume ratio) with 0.5 M LiPF6 as supporting salt and 0.5 wt% TPFPB,Not found,Not found,ZIB
524,TPFPB,1 mol L-1 LiPF6 in EC:DMC (1:1) with TPFPB additive,Mesophase Pitch Fluoride (MPF),Lithium,ZIB
584,TPFPB,"1 M LiTFSI in DOL/DME (LDD), with additives like TPFPB or DiOB-Py in modified versions",Cu2(OH)3F,Lithium metal,ZIB
41,TPFPB,1 M LiPF6 in EC/EMC (3:7 by wt.) with 1 wt% TPFPB,LiNi0.5Mn1.5O4 (LNMO),Li metal,LMB
243,TPFPB,"LiFSI-dimethyl carbonate (DMC)-bis(2,2,2-trifluoroethyl) ether (BTFE, 1.0:1.5:2.0, by mol) with 2.0 wt.% TPFPB",LiNi0.5Co0.2Mn0.3O2 (NCM523),Lithium metal,LMB
400,TPFPB,1 M LiF + 1 M tris(pentafluorophenyl)borane (TPFPB) in DME or 1:1:3 PC:EC:DMC,LiMn2O4,Lithium metal,LMB
530,TPFPB,"Composite polymer electrolyte (CPE) with poly(ionic liquid), lithium salt (e.g., LiTFSI), trapped solvent (e.g., DMF), and TPFPB additive","LiFePO4, LiNi0.85Co0.15Al0.05O2 (NCA)",Lithium metal,LMB
538,TPFPB,Not found,LiNi0.5Co0.2Mn0.3O2 (NCM523) and LiFePO4 (LFP),Lithium metal,LMB
653,TPFPB,1 m NaClO4 in EC/DME (vol. 1:1) with 3 wt.% TPFPB,Na3V2(PO4)3 (NVP),Not found,SIB
706,TPFPB,"MgCl2, triphenyl borate [B(OPh)3], and tris(pentafluorophenyl) boron (TPFPB) in tetrahydrofuran (THF)",CuS and Mo6S8,Mg metal,MIB
64,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiMn2O4,Graphite,LIB
101,TPFPB,"0.6 M LiF and 0.6 M TPFPB in PC/DMC (1:1, v/v) or similar compositions",LiCoO2 or LiMn2O4,Graphite (MCMB),LIB
128,TPFPB,0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 volume) or similar compositions,LiMn2O4,Lithium foil,LIB
132,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiNi0.80Co0.15Al0.05O2,MCMB (Mesocarbon Microbeads),LIB
195,TPFPB,1 M LiPF6 in EC:DMC (1:1 wt%),Li1.2Ni0.16Mn0.56Co0.08O2 (LR-NMC),Lithium metal,LIB
335,TPFPB,1.0 mol dm^{-3} LiPF6 in EC/DMC (1:1 v/v),FeF3,Li,LIB
395,TPFPB,Not found,Not found,Not found,LIB
480,TPFPB,"1 M LiPF6 in EC, EMC, and DEC (3:4:3 by volume) with 1% TPFPB",NCM811 and NCM90,Lithium metal,LIB
559,TPFPB,PEO/LiTFSI with TPFPB additive,"NCM811, LiFePO4",Lithium metal,LIB
531,LiB5AB,"B-SIPE16 (synthesized from LiB5AB, HDI, PEG2000, and TFSILi)",LiFePO4,Lithium metal,LMB
178,TPFPB,PC/ACN (1:5 volume ratio) with 0.5 M LiPF6 as supporting salt and 0.5 wt% TPFPB,Not found,Not found,ZIB
524,TPFPB,1 mol L-1 LiPF6 in EC:DMC (1:1) with TPFPB additive,Mesophase Pitch Fluoride (MPF),Lithium,ZIB
584,TPFPB,"1 M LiTFSI in DOL/DME (LDD), with additives like TPFPB or DiOB-Py in modified versions",Cu2(OH)3F,Lithium metal,ZIB
41,TPFPB,1 M LiPF6 in EC/EMC (3:7 by wt.) with 1 wt% TPFPB,LiNi0.5Mn1.5O4 (LNMO),Li metal,LMB
243,TPFPB,"LiFSI-dimethyl carbonate (DMC)-bis(2,2,2-trifluoroethyl) ether (BTFE, 1.0:1.5:2.0, by mol) with 2.0 wt.% TPFPB",LiNi0.5Co0.2Mn0.3O2 (NCM523),Lithium metal,LMB
400,TPFPB,1 M LiF + 1 M tris(pentafluorophenyl)borane (TPFPB) in DME or 1:1:3 PC:EC:DMC,LiMn2O4,Lithium metal,LMB
530,TPFPB,"Composite polymer electrolyte (CPE) with poly(ionic liquid), lithium salt (e.g., LiTFSI), trapped solvent (e.g., DMF), and TPFPB additive","LiFePO4, LiNi0.85Co0.15Al0.05O2 (NCA)",Lithium metal,LMB
538,TPFPB,Not found,LiNi0.5Co0.2Mn0.3O2 (NCM523) and LiFePO4 (LFP),Lithium metal,LMB
653,TPFPB,1 m NaClO4 in EC/DME (vol. 1:1) with 3 wt.% TPFPB,Na3V2(PO4)3 (NVP),Not found,SIB
706,TPFPB,"MgCl2, triphenyl borate [B(OPh)3], and tris(pentafluorophenyl) boron (TPFPB) in tetrahydrofuran (THF)",CuS and Mo6S8,Mg metal,MIB
64,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiMn2O4,Graphite,LIB
101,TPFPB,"0.6 M LiF and 0.6 M TPFPB in PC/DMC (1:1, v/v) or similar compositions",LiCoO2 or LiMn2O4,Graphite (MCMB),LIB
128,TPFPB,0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 volume) or similar compositions,LiMn2O4,Lithium foil,LIB
132,TPFPB,1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,LiNi0.80Co0.15Al0.05O2,MCMB (Mesocarbon Microbeads),LIB
195,TPFPB,1 M LiPF6 in EC:DMC (1:1 wt%),Li1.2Ni0.16Mn0.56Co0.08O2 (LR-NMC),Lithium metal,LIB
335,TPFPB,1.0 mol dm^{-3} LiPF6 in EC/DMC (1:1 v/v),FeF3,Li,LIB
395,TPFPB,Not found,Not found,Not found,LIB
480,TPFPB,"1 M LiPF6 in EC, EMC, and DEC (3:4:3 by volume) with 1% TPFPB",NCM811 and NCM90,Lithium metal,LIB
559,TPFPB,PEO/LiTFSI with TPFPB additive,"NCM811, LiFePO4",Lithium metal,LIB
548,B-HEMA,AMPE (anion-modulated polymer electrolyte) with LiTFSI,LiCoO2 (LCO),Li-metal,LMB
298,B-HEMA,"Composite polymer electrolyte with PEGMA, B-HEMA, NaTf, TEGDME, and AIBN, prepared in situ in a porous PVdF-HFP matrix",NaNi1/3Fe1/3Mn1/3O2 (NFM),Sodium metal,SIB
327,B-HEMA,1M NaClO4 in succinonitrile (SCN) with boron-containing cross-linker (B-HEMA),NaNi1/3Fe1/3Mn1/3O2 (NFM),Hard carbon (HC),SIB
416,LiDFOB,4 M LiDFOB + LiTFSI / DME (dimethoxyethane),Not found,Lithium metal,LMB
549,LiDFOB,"Poly(1,3-dioxane) (PDOL)-based with LiTFSI and LiDFOB",Not found,Lithium metal,LMB
717,LiDFOB,"Various, including 1.2 M LiTFSI in THP:FEC (6:4 by volume) and others with different salts",NCM811,Lithium metal,LMB
358,LiDFOB,Not found,Sulfurized polyacrylonitrile (SPAN),Lithium (Li),LiS
3,LiDFOB,"Methyl acetate (MA) with 0.1 M TPFPB + 0.3 M LiF, 10% FEC, and 0.05 M LiDFOB additive",Not found,Graphite,LIB
53,LiDFOB,1 M LiBOB:LiBF4 in EC:DEC (3:7 by wt.) with various molar ratios,Not found,Lithium metal,LIB
59,LiDFOB,0.7 M lithium difluoro(oxalato)borate (LiDFOB) in trimethyl phosphate (TMP) solvent,NCM9055 (LiNi0.9Co0.05Mn0.05O2),Lithium metal,LIB
109,LiDFOB,1.2 m LiFSI/0.05 m LiDFOB in DME/HFE/FEC (3:6:1 by vol),NMC532,Graphite,LIB
186,LiDFOB,1.0 M LiDFOB in EC/PC/DMC (1:1:3 by weight),Li1.1[Mn1/3Ni1/3Co1/3]0.9O2 (L333),Mesocarbon microbeads (MCMB),LIB
191,LiDFOB,1.0 M LiPF6 in FEC/FEMC/HFE (2:6:2 by weight) with 2 wt% LiDFOB additive,LiNiO2,Graphite or Li metal,LIB
232,LiDFOB,"1 M LiPF6 in EC/DMC/EMC (1:1:1, v:v:v) with 1.5 wt% LiDFOB additive",LiNi0.83Mn0.05Co0.12O2 (NMC811),Graphite,LIB
275,LiDFOB,Polysiloxane-based membranes with LiDFOB or LiBOB at 0.61 mmol/g polymer,Not found,Not found,LIB
387,LiDFOB,"1 mol L�? LiPF6 in EC/DEC/EMC (1:1:1, by volume)",LiNi1/3Co1/3Mn1/3O2,Lithium metal,LIB
395,LiDFOB,Not found,Not found,Not found,LIB
439,LiDFOB,Mixture of LiBF4 and lithium difluoro(oxalato)borate (MIX-LiFBs) in various solvents including EC + PC + DMC (1:1:3) and ionic liquids,Not found,Graphite,LIB
472,LiDFOB,"PDSLB (PVDF-HFP-based solid electrolyte), LE0 (liquid electrolyte, composition not fully specified in text)",LFP (LiFePO4),Aluminum (Al) metal foil,LIB
489,LiDFOB,0.5 m LiTFSI-0.5 m LiDFOB in tetraglyme (G4),NMC811,Graphite or Hard Carbon,LIB
502,LiDFOB,1M LiPF6 in EC/DMC/EMC (1:1:1 by volume),Li1.2Co0.13Ni0.13Mn0.54O2,Graphite,LIB
535,LiDFOB,"0.6 M LiFSI and 0.2 M LiDFOB dissolved in 1,3-DIOX",NCM811,Graphite,LIB
575,LiDFOB,PEO/LiTFSI and PEO/LiDFOB bilayer electrolyte,FeF3,Lithium metal,LIB
581,LiDFOB,"1 M LiPF6 in dimethyl carbonate, ethylene carbonate, and ethyl methyl carbonate (1:1:1 in volume) with and without 1 vol% lithium difluoro(oxalate)borate (LiDFOB)",LiFePO4,Graphite,LIB
601,LiDFOB,1 M LiDFOB in EC/DMC (3/7 by volume) with 5 wt% glycidyl POSS,NCM83 (LiNi0.83Co0.11Mn0.06O2),"Graphite (implied from context, but SiOx is also used; primary is SiOx for full cell)",LIB
631,LiDFOB,PVDF/LiDFOB/SN polymer electrolyte infiltrated into cellulose/B2O3 membrane,NCM622,Lithium metal,LIB
680,LiDFOB,0.5 M LiPF6 + 0.5 M LiDFOB in EC/DEC (1:1 by vol.) or 1 M LiPF6 in EC/DEC (1:1 by vol.),Not found,Graphite,LIB
699,LiDFOB,0.7M LiBF4/DMC and 0.7M LiDFOB/DMC,Not found,Graphite,LIB
563,BNNFs,PEO/LiTFSI with 1% BNNFs,LFP (LiFePO4),Lithium metal,LMB
571,BRC,1M LiClO4/NaClO4 in EC:DMC (1:1 vol%) with B-GPE,LiFePO4 (LFP) and Na3V2(PO4)3 (NVP),Lithium metal and sodium metal,LMB
72,BN,Li1.3Al0.3Ti1.7(PO4)3 (LATP) solid electrolyte with PEO-LiTFSI@BN interfacial layer,NCM523,Li metal,LMB
255,BN,LATP solid electrolyte with BN coating; additional PEO/LiTFSI or liquid electrolyte (1M LiPF6 in EC/DEC) for infiltration,LiFePO4 (LFP) and NMC (LiNi0.33Mn0.33Co0.33O2),Lithium metal,LMB
376,BN,Li5.7PS4.7Cl1.3 (LPSC1.3) with boron nitride coating,NCM811 (LiNi0.8Co0.1Mn0.1O2),Lithium metal,LMB
585,BN,PEO-LiTFSI with boron nitride nanosheets,LiFePO4,Lithium metal,LMB
214,BN,PEO-PVDF-LiTFSI with 12 wt% BN additive,Sulfur,Lithium metal,LiS
304,BN,Li7P3S11 with BN doping (LPS-BN),Sulfur/Graphite composite,Lithium metal,LiS
225,BN,PVDF-HFP/LiTFSI hybrid electrolyte with 1% BN addition,LiFePO4,Lithium metal,LIB
644,BN,PEO/PVDF/LiTFSI with g-C3N4 and BN additives,LiFePO4,Lithium metal,LIB
632,FBA,1.0 M LiTFSI in DOL/DME (1:1 by volume) with 1.0 wt% LiNO3 and 1.0 wt% FBA,LiFePO4 (LFP),Lithium metal or Copper (Cu),LMB
635,NhBN,"P(VDF-HFP)/LiTFSI/[EMIM][TFSI]/NhBN = 1:0.4:2.5:x (x=0,0.3,0.4,0.5,0.6) in methylethylketone solvent",LiNi0.8Co0.15Al0.05O2 (NCA),Lithium metal,LMB
