title,battery_format,cathode,anode,electrolyte,additives,DOI
Boosting Anionic Redox Reactions of Li-Rich Cathodes through Lattice Oxygen and Li-Ion Kinetics Modulation in Working All-Solid-State Batteries,[],[lithium-rich manganese-based oxides (LRMOs), lithium (Li), all-solid-state, boron ions (B3+) doping and 3D Li2B4O7 (LBO) ionic networks],10.1002/adma.202414195
Polysulfide-incompatible additive suppresses reaction of Li-S batteries,[pouch battery],[sulfur cathode, lithium anode, electrolyte system with Lewis acid additives, polysulfide-incompatible Lewis acid additives],10.1016/j.joule.2024.09.004
Synergistic anion receptor-polymer regulate electrolyte solvation structure for high-rate solid-state lithium metal batteries,[],[LiFePO4 or LiNi0.85Co0.15Al0.05O2, lithium metal, poly(ionic liquid)-based solid-state composite polymer electrolyte, tris(pentafluorophenyl) boron (TPFPB)],10.1016/j.cej.2024.158397
"N, S co-doped and boron doped Artocarpus heterophyllus wood derived activated carbon for supercapacitor application",[],[N,S co-doped porous carbons, N,S co-doped porous carbons,10.1016/j.electacta.2024.145491
Formation of lattice vacancies and their effects on lithium-ion transport in LiBO2 crystals: comparative ab initio studies,[],[lithium metaborate (LiBO2), [], [], []],10.1039/d4ta05713a
Using Data-Science Approaches to Unravel Insights for Enhanced Transport of Lithium Ions in Single-Ion Conducting Polymer Electrolytes,[],[lithium ion, [], single-ion conducting polymer electrolytes, []],10.1021/acs.chemmater.4c02432
In-situ constructing 3D nanocarbon conduction conformal network on silicon anodes for high-performance sulfide-based all-solid-state batteries,[],[LiCoO2 (LCO), silicon, sulfide electrolytes, nanocarbon and polyvinylidene fluoride (PVDF)],10.1016/j.cej.2024.158154
A Fluorinated Ether Co-solvent Enables High Operating Temperature Li-ion Batteries,[],[cathode material not specified, graphite anode, LiPF6/LiDFOB/LiDFP in EC:EMC with VC additive, TTE co-solvent],10.1149/1945-7111/ad9b52
Shielding Fluoride Ion Basicity through Diurea Coordination for Nonaqueous Fluoride Shuttle Batteries,[],[BiF3 or Ag, Pb-PbF2, dual 1,3-diphenylurea (DPU) coordinated fluoride salt in aprotic solvents,10.1002/anie.202418371
Li Alloys in All Solid-State Lithium Batteries: A Review of Fundamentals and Applications,[],[Li metal anodes, Li-alloy materials, solid-state electrolyte, []],10.1007/s41918-024-00221-0
Hydridoborate-Based Solid-State Electrolytes for Sodium Metal Batteries,[],[sodium metal, sodium metal, Na-hydridoborate-based solid-state electrolytes, []],10.1002/batt.202400636
Solubility of metal-boron-hydrogen compounds,[],[ [], [], [boron-hydrogen compounds], [] ],10.1039/d4dt02256d
Iodine Boosted Fluoro-Organic Borate Electrolytes Enabling Fluent Ion-Conductive Solid Electrolyte Interphase for High-Performance Magnesium Metal Batteries,[],[Chevrel-phase Mo6S8, Mg metal, Mg[B(HFIP)4]2/DME-MgI2, I2],10.1002/anie.202417450
Functionalized fillers as ions relay stations enabling Li+ ordered transport in quasi-solid electrolytes for high-stability lithium metal batteries,[],[LiNi0.8Co0.1Mn0.1O2 (NCM811), lithium metal anode, pentaerythritol tetraacrylate (PETEA)-based polymer electrolytes, cyano-functionalized boron nitride nanosheets],10.1016/j.jechem.2024.09.069
Anion Modulation: Enabling Highly Conductive Stable Polymer Electrolytes for Solid-State Li-Metal Batteries,[coin battery],[LiCoO2, Li metal, solid polymer electrolyte, boron-containing anion receptor],10.1002/anie.202412280
First principles theoretical of designing sandwich-like metallic BP4 monolayer as anode for alkali metal-ion batteries,[],[negative electrode material: BP4 monolayer, positive electrode material: [], electrolyte system: [], additives: []],10.1088/1361-6528/ad7145
Enhancing High-Voltage LNMO Cathode Performance in Li-Metal Batteries Via Anionic Electrolyte Additive-Integrated CEI Engineering,[],[LiNi0.5Mn1.5O4 (LNMO), lithium metal, conventional base electrolyte with LiBF4 additive, LiBF4],10.1002/adfm.202416634
A moisture/acid-purified and thermoregulatory separator promises hygroscopic electrolytes in lithium-ion batteries,[],[LiNi0.8Co0.1Mn0.1O2, graphite, organic electrolyte, []],10.1016/j.cej.2024.157564
Enhancement of physical and electrochemical properties of electrospun P (VdF-co-HFP) separators by incorporating magnesium borate for advanced lithium-ion batteries,[],[LiFePO4, lithium metal, liquid electrolyte, Mg2B2O5],10.1016/j.polymer.2024.127798
Constructing a Functional Fast-Ion Conductor Interface for Vertically Aligned Titanium Boride Nanosheets to Achieve Superior Sodium-Ion Storage Performances,[],[, yolk-shell TiB2@NaB5C (TBNBC) nanospheres anode, ,],10.1002/adfm.202417457
Dual-Anionic Coordination Manipulation Induces Phosphorus and Boron-Rich Gradient Interphase Towards Stable and Safe Sodium Metal Batteries,[],[Na0.95Ni0.4Fe0.15Mn0.3Ti0.15O2, Na metal, trimethyl phosphate-based localized high-concentration electrolyte, phosphorus and boron compounds],10.1002/anie.202415644
Effect of ligand variation on Mg alkoxyborate electrolytes: Does more fluorine help?,[],[organic cathode, Mg metal anode, Mg fluorinated alkoxyborate-based electrolytes, []],10.1016/j.jpowsour.2024.235711
Tow-way regulation strategy for in-situ electropolymerization additives coordinated by double bonds and boric acid groups in lithium secondary batteries,[],[LiFePO4, graphite, lithium secondary battery electrolyte, 2,10.1016/j.cej.2024.156790
Stable solid-state potassium metal batteries enabled by a KB11H142Me3NBH3 complex electrolyte,[],[TiS2, K metal, KB11H142Me3NBH3 complex electrolyte, NH3B3H7],10.1039/d4qi02372b
Molecular-level designed single electrolyte additive with multifunctional groups enabling high mechanical properties/fast Li plus kinetics interphase for wide-temperature nickel-rich/graphite batteries,[],[NCM622, graphite, not specified, SOFPB],10.1016/j.cej.2024.157218
Improving the rate performance of mesophase pitch fluoride by boron anion receptor for lithium/fluorinated carbon primary batteries,[],[Mesophase pitch fluoride (MPF), lithium, [], tri(pentafluorophenyl)borane (TPFPB)],10.1016/j.apsusc.2024.161636
Boron Surface Treatment of Li7La3Zr2O12 Enabling Solid Composite Electrolytes for Li-Metal Battery Applications,[],[LiFePO4, lithium metal, composite polymer-ceramic solid electrolyte, boron-treated LLZO particles],10.1002/cssc.202401304
Modified Lithium Borate Buffer Layer for Cathode/Sulfide Electrolyte Interface Stabilization,[],[oxide-based cathode, lithium metal anode, sulfide-based solid electrolyte, sulfur-modified lithium borate coating],10.33961/jecst.2024.00591
Insight into physico-chemical properties of oxalatoborate-based ionic liquids through combined experimental-theoretical characterization,[],[high-voltage cathode materials, [], [], ionic liquids including oxalatoborate anions (bis(oxalato)borate and difluoro(oxalato)borate)],10.1039/d4cp02296c
Calcium Alginate Fibers/Boron Nitride Composite Lithium-Ion Battery Separators with Excellent Thermal Stability and Cycling Performance,[],[ [], [], [], [] ],10.3390/molecules29225311
A CaI2-Based Electrolyte Enabled by Borate Ester Anion Receptors for Reversible Ca-Organic and Ca-Se Batteries,[],[selenium and organic cathodes, Ca metal anode, CaI2-dimethoxyethane electrolyte, borate ester anion receptors],10.1002/anie.202413416
Facile Synthesis of Potassium Decahydrido-Monocarba-closo-Decaborate Imidazole Complex Electrolyte for All-Solid-State Potassium Metal Batteries,[],[],[potassium metal],[KCB9H10·2C3H4N2],[],10.1002/anie.202412401
UV-Triggered In Situ Formation of a Robust SEI on Black Phosphorus for Advanced Energy Storage: Boosting Efficiency and Safety via Rapid Charge Integration Plasticity,[],[positive electrode material: [], negative electrode material: [black phosphorus], electrolyte system: [liquid systems], additives: [(E)-2-chloro-4-((3 '-chloro-4 '-hydroxyphenyl)diazinyl)phenyl acrylate (CA)]],10.1002/aenm.202403188
High-surface area active boron nitride nanofiber rich in oxygen vacancies enhanced the interface stability of all-solid-state composite electrolytes,[],[LiFePO4 or NCM622, lithium metal, composite polymer electrolyte, boron nitride nanofiber],10.1016/j.jmst.2024.07.051
Designing Bilayer Heterostructure Functional Polymer Electrolytes with Interfacial Engineering Strategy for High-Performance Lithium Metal Batteries,[],[LiNi0.5Co0.2Mn0.3O2 or LiFePO4, lithium metal, gel polymer electrolyte, tris(trimethylsilyl) phosphite and tris(pentafluorophenyl)borane],10.1002/adfm.202414816
"A novel strategy to improve the electrochemical properties of in-situ polymerized 1,3-dioxolane electrolyte in lithium metal batteries",[],[LiNi0.8Co0.1Mn0.1O2 or NCM811, lithium metal, poly-DOL electrolyte, tributyl borate or TBB],10.1016/j.jcis.2024.10.024
Catalytic Strategies Enabled Rapid Formation of Homogeneous and Mechanically Robust Inorganic-Rich Cathode Electrolyte Interface for High-Rate and High-Stability Lithium-Ion Batteries,[],[LiFePO4, , , boron-doping graphene/lithium carbonate (BG/LCO)],10.1002/aenm.202403696
Boron nitride: The key material in polymer composites for electromobility,[],[positive electrode material: [], negative electrode material: [], electrolyte system: [], additives: []],10.1002/pc.29106
Ionic Interaction Effects on the Structure and Dynamics of Orthoborate Ionic Materials,[],[ [], [], [], [] ],10.1021/acs.cgd.4c01030
Interaction of Boron-Based Cross-Linkers with Polymer Binders for Silicon Anodes in Lithium-Ion Batteries,[],[silicon anode, not specified, not specified, BDBA/borax cross-linked PVA binder],10.1021/acsapm.4c01523
"A tetraphenylborate-based anionic metal-organic framework as a versatile solid electrolyte for fast Li+, Na+, K+, Mg2+, Ca2+, and Zn2+ transportation",[],[lithium iron phosphate, negative electrode material not specified, anionic MOF-based solid electrolyte, additives not specified],10.1039/d4sc02861a
Multi boron-doping effects in hard carbon toward enhanced sodium ion storage,[],[not specified, hard carbon, not specified, not specified],10.1016/j.jechem.2024.09.024
Tailoring the Li+ Intercalation Energy of Carbon Nanocage Anodes Via Atomic Al-Doping for High-Performance Lithium-Ion Batteries,[],[graphitic carbon materials (specifically AlBN-CNC), not specified, not specified, not specified],10.1002/smll.202406309
Comparative FEM Study of Thermal Behavior in Sheet Metal and SMC Battery Pack Cases for Electric Vehicles: Insights into Thermal Management Strategies,[],[ [], [], [], [] ],
Understanding Boron Chemistry as the Surface Modification and Electrolyte Additive for Co-Free Lithium-Rich Layered Oxide,[],[lithium-rich layered oxide (LRLO), [], [], lithium bis(oxalato)borate (LiBOB)],10.1002/aenm.202401968
Phase compatible surface engineering to boost the cycling stability of single-crystalline Ni-rich cathode for high energy density lithium-ion batteries,[],[LiNi0.83Co0.11Mn0.06O2, [], organic electrolyte, []],10.1016/j.ensm.2024.103788
Multifunctional B/N/O-co-doped porous spherical carbons to achieve superior capacitive performance with OER activity,[],[B,N,O-co-doped carbon spheres (CPFP series), [],10.1039/d4nj02857k
Boron-containing cross-linker assisted single-ion conducting polymer electrolytes for high-performance and dendrite-free Li-metal batteries,[],[LiFePO4, lithium metal, boron-containing single-ion polymer electrolyte (BSPE), diisopropyl allylboronate (DPAB)],10.1016/j.polymer.2024.127576
Quantifying concentration distributions in redox flow batteries with neutron radiography,[redox flow cell],[redox-active organic materials, redox-active organic materials, nonaqueous electrolyte with boron-containing supporting electrolyte, []],10.1038/s41467-024-50120-7
Dilute Electrolytes with Fluorine-Free Ether Solvents for 4.5 V Lithium Metal Batteries,[coin battery],[LiNi0.8Co0.1Mn0.1O2 (NCM811), lithium metal, fluorine-free ether solvent, boron-containing salt],10.1002/anie.202409193
"Light element (B, N) co-doped graphitic films on copper as highly robust current collectors for anode-free Li metal battery applications",[coin battery],[positive electrode material: [], negative electrode material: graphitic films (doped/undoped), electrolyte system: [], additives: []],10.1063/5.0208785
Boron-deficient molecules tailored inorganic-rich cathode/electrolyte interfaces for stable Li||LiFe0.2Mn0.8PO4 battery,[],[LiMn0.8Fe0.2PO4, Li, electrolyte with TBB additive, Tributyl borate (TBB)],10.1007/s11581-024-05792-y
Conformal coating of PbO2 around boron doped diamond coated carbon felt positive electrode for stable and high-capacity operation of soluble lead redox flow battery,[redox flow battery],[PbO2/Pb, Pb/Pb2+, Pb(CH3SO3)2 in CH3SO3H, []],10.1016/j.est.2024.113304
Horizontal Lithium Electrodeposition on Atomically Polarized Monolayer Hexagonal Boron Nitride,[],[Li-metal anode, not specified, not specified, not specified],10.1021/acsnano.4c05208
Design and Reaction Mechanism of Rechargeable Lithium-Carbon Fluoride Battery,[],[carbon fluoride (CFx), lithium (Li), all-fluorinated electrolyte, tris(trimethylsilyl)borate (TMSB)],10.1021/acsnano.4c08836
Bacterial Cellulose Separator with High Young's Modulus Effectively Inhibits Lithium Dendrites,[coin battery],[LiFePO4, lithium metal, conventional organic carbonate-based electrolyte, []],10.6023/A24040141
Asymmetric fireproof gel polymer electrolyte constructed by boron-contained covalent organic framework for dendrite-free sodium metal battery,[],[sodium metal batteries, sodium metal anode, gel polymer electrolyte modified with boron-contained covalent organic framework, boron-contained covalent organic framework],10.1007/s12274-024-6910-0
A novel cathode interphase formation methodology by preferential adsorption of a borate-based electrolyte additive,[pouch battery],[LiNi0.9Co0.05Mn0.05O2, lithium metal, ester electrolyte, tris(2,10.1093/nsr/nwae219
The Effect of Boron Nitride Flakes on Sodium Ion Transport in PEO Electrolytes,[],[sodium battery, [], solid polymer electrolyte, hexagonal boron nitride],10.1021/acs.chemmater.4c01192
An overview of Joule heating in energy storage materials and applications,[],[positive electrode material, negative electrode material, electrolyte system, additives],10.1039/d4tc01736f
Preparation of thermally conductive polyimide/aluminum oxide/boehmite composite separators for enhancing lithium-ion battery safety and performance,[],[positive electrode material: [], negative electrode material: [], electrolyte system: [], additives: []],10.1002/app.56049
Polydopamine-boron nitride nanosheet composites with core-shell structures modified PMIA separator for enhanced performance of high-power lithium-ion batteries,[],[LiFePO4, Li, [], []],10.1016/j.est.2024.113020
The Impact of Boron Compounds on the Structure and Ionic Conductivity of LATP Solid Electrolytes,[],[, , solid electrolyte (LATP/LABTP), boron compounds (B2O3/H3BO3)],10.3390/ma17153846
Development of Boron-Containing Electrolyte Additive for Lithium-Ion Batteries,[coin battery],[LiCoO2, lithium metal, LiPF6-ethylene carbonate/dimethyl carbonate/diethyl carbonate (1:1:1 by volume), BF3 PPh3],10.1115/1.4063429
Universal Copolymerization of Crosslinked Polyether Electrolytes for All-Solid-State Lithium-Metal Batteries,[],[lithium metal, solid polymer electrolyte, LiTFSI, LiDFOB],10.1002/advs.202405482
Revolutionizing multifunctional electrolyte additive design and synthesis for high-voltage nickel-rich batteries in diverse climates,[],[LiNi0.6Co0.2Mn0.2O2, graphite, [], 3,10.1016/j.ensm.2024.103642
